Subject,Number,Course Title,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,courseDesc,averageGPA,studentCount
CS,100,Freshman Orientation,"Gunter, Elsa",0,290,10,9,4,2,1,2,2,0,1,0,1,0,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.,3.897,322
CS,100,Freshman Orientation,"Pitt, Leonard B",0,1749,16,34,123,11,11,69,3,2,23,4,57,6,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.,3.693,2108
CS,101,Intro Computing: Engrg & Sci,"Bhasin, Rajesh",9,13,11,18,6,9,2,6,1,3,0,0,0,0,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.239,78
CS,101,Intro Computing: Engrg & Sci,"Cunningham, Ryan M",13,554,154,148,238,49,36,86,23,0,41,0,40,8,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.261,1390
CS,101,Intro Computing: Engrg & Sci,"Davis, Neal E",1714,851,453,296,222,126,93,77,54,30,46,34,79,8,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.553,4083
CS,101,Intro Computing: Engrg & Sci,"Fister, Andrew E",8,16,20,12,6,4,3,3,0,1,1,0,3,1,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.29,78
CS,101,Intro Computing: Engrg & Sci,"Gambill, Thomas N",850,675,584,514,481,432,330,264,179,141,86,69,158,27,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.037,4790
CS,101,Intro Computing: Engrg & Sci,"Gupta, Piyush",15,11,23,9,6,6,1,1,4,1,0,0,2,0,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.351,79
CS,101,Intro Computing: Engrg & Sci,"Huang, Zu C",13,15,11,6,4,9,8,2,2,2,2,1,1,1,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.154,77
CS,101,Intro Computing: Engrg & Sci,"Shifteh Far, Saeidreza",13,12,9,6,11,7,0,5,4,3,2,0,3,1,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.032,76
CS,101,Intro Computing: Engrg & Sci,"Su, Lu",8,11,9,14,7,9,3,3,2,2,0,0,2,1,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. ",3.138,71
CS,105,Intro Computing: Non-Tech,"Bhagath, Aditya",1,11,1,1,5,3,1,1,0,1,1,1,0,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.161,27
CS,105,Intro Computing: Non-Tech,"Charalambides, Minas",9,11,11,7,13,6,7,3,6,2,2,0,0,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.061,77
CS,105,Intro Computing: Non-Tech,"Chen, Yi-Shuan",8,20,15,9,6,3,5,5,4,1,3,1,1,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.165,81
CS,105,Intro Computing: Non-Tech,"Date, Chaitanya P",5,11,12,10,11,4,6,0,3,1,0,1,0,0,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. ",3.219,64
