courseNo,courseTitle,year,term,primaryInstructor,aPlus,a,aMinus,bPlus,b,bMinus,cPlus,c,cMinus,dPlus,d,dMinus,f
100,Freshman Orientation,2012,Fall,"Pitt, Leonard B",0,188,0.1,0.2,21,0.3,0.4,6,0.5,0.6,1,0.7,9
100,Freshman Orientation,2013,Fall,"Pitt, Leonard B",0,222,0.0,5.0,16,0.0,5.0,4,0.0,2.0,1,0.0,9
100,Freshman Orientation,2014,Fall,"Pitt, Leonard B",0,232,11.0,3.0,11,3.0,2.0,6,1.0,0.0,2,1.0,9
100,Freshman Orientation,2015,Fall,"Pitt, Leonard B",0,234,0.0,9.0,11,4.0,0.0,10,0.0,0.0,2,2.0,4
100,Freshman Orientation,2016,Fall,"Pitt, Leonard B",0,279,0.0,5.0,11,0.0,1.0,6,0.0,0.0,3,0.0,6
100,Freshman Orientation,2017,Fall,"Pitt, Leonard B",0,258,5.0,12.0,12,4.0,3.0,3,2.0,0.0,0,1.0,4
100,Freshman Orientation,2018,Fall,"Gunter, Elsa",0,290,10.0,9.0,4,2.0,1.0,2,2.0,0.0,1,0.0,1
101,Intro Computing: Engrg & Sci,2010,Fall,"Gambill, Thomas N",49,74,68.0,67.0,56,46.0,39.0,25,16.0,9.0,6,8.0,2
101,Intro Computing: Engrg & Sci,2010,Spring,"Bhasin, Rajesh",9,13,11.0,18.0,6,9.0,2.0,6,1.0,3.0,0,0.0,0
101,Intro Computing: Engrg & Sci,2010,Spring,"Fister, Andrew E",8,16,20.0,12.0,6,4.0,3.0,3,0.0,1.0,1,0.0,3
101,Intro Computing: Engrg & Sci,2010,Spring,"Gupta, Piyush",15,11,23.0,9.0,6,6.0,1.0,1,4.0,1.0,0,0.0,2
101,Intro Computing: Engrg & Sci,2010,Spring,"Huang, Zu C",13,15,11.0,6.0,4,9.0,8.0,2,2.0,2.0,2,1.0,1
101,Intro Computing: Engrg & Sci,2010,Spring,"Shifteh Far, Saeidreza",13,12,9.0,6.0,11,7.0,0.0,5,4.0,3.0,2,0.0,3
101,Intro Computing: Engrg & Sci,2010,Spring,"Su, Lu",8,11,9.0,14.0,7,9.0,3.0,3,2.0,2.0,0,0.0,2
101,Intro Computing: Engrg & Sci,2011,Fall,"Gambill, Thomas N",115,80,49.0,47.0,41,45.0,26.0,20,14.0,8.0,7,6.0,4
101,Intro Computing: Engrg & Sci,2011,Spring,"Gambill, Thomas N",106,103,78.0,52.0,42,33.0,19.0,12,9.0,4.0,4,8.0,4
101,Intro Computing: Engrg & Sci,2012,Fall,"Gambill, Thomas N",86,61,56.0,40.0,52,41.0,36.0,30,14.0,10.0,4,4.0,15
101,Intro Computing: Engrg & Sci,2013,Fall,"Gambill, Thomas N",82,64,56.0,51.0,53,53.0,34.0,33,28.0,23.0,13,11.0,17
101,Intro Computing: Engrg & Sci,2013,Spring,"Gambill, Thomas N",104,85,71.0,67.0,44,45.0,38.0,24,22.0,14.0,5,4.0,8
101,Intro Computing: Engrg & Sci,2014,Fall,"Gambill, Thomas N",79,51,64.0,66.0,78,66.0,57.0,48,39.0,35.0,20,13.0,50
101,Intro Computing: Engrg & Sci,2014,Spring,"Gambill, Thomas N",113,74,59.0,56.0,42,37.0,33.0,29,21.0,18.0,8,8.0,23
101,Intro Computing: Engrg & Sci,2015,Fall,"Cunningham, Ryan M",7,213,76.0,83.0,142,35.0,23.0,53,12.0,0.0,26,0.0,24
101,Intro Computing: Engrg & Sci,2015,Spring,"Gambill, Thomas N",116,83,83.0,68.0,73,66.0,48.0,43,16.0,20.0,19,7.0,35
101,Intro Computing: Engrg & Sci,2016,Fall,"Davis, Neal E",93,154,124.0,67.0,72,36.0,39.0,26,11.0,10.0,15,14.0,21
101,Intro Computing: Engrg & Sci,2016,Spring,"Cunningham, Ryan M",6,341,78.0,65.0,96,14.0,13.0,33,11.0,0.0,15,0.0,16
101,Intro Computing: Engrg & Sci,2017,Fall,"Davis, Neal E",439,90,43.0,30.0,19,16.0,5.0,9,6.0,1.0,9,0.0,14
101,Intro Computing: Engrg & Sci,2017,Spring,"Davis, Neal E",239,159,72.0,61.0,44,24.0,9.0,12,9.0,7.0,2,4.0,15
101,Intro Computing: Engrg & Sci,2018,Fall,"Davis, Neal E",263,162,72.0,59.0,40,16.0,12.0,11,5.0,8.0,7,6.0,11
101,Intro Computing: Engrg & Sci,2018,Spring,"Davis, Neal E",360,128,67.0,37.0,25,14.0,16.0,12,12.0,2.0,5,3.0,8
101,Intro Computing: Engrg & Sci,2019,Spring,"Davis, Neal E",320,158,75.0,42.0,22,20.0,12.0,7,11.0,2.0,8,7.0,10
105,Intro Computing: Non-Tech,2010,Fall,"Gambill, Thomas N",45,169,102.0,71.0,119,81.0,70.0,110,19.0,5.0,11,7.0,8
105,Intro Computing: Non-Tech,2010,Spring,"Bhagath, Aditya",1,11,1.0,1.0,5,3.0,1.0,1,0.0,1.0,1,1.0,0
105,Intro Computing: Non-Tech,2010,Spring,"Charalambides, Minas",9,11,11.0,7.0,13,6.0,7.0,3,6.0,2.0,2,0.0,0
105,Intro Computing: Non-Tech,2010,Spring,"Chen, Yi-Shuan",8,20,15.0,9.0,6,3.0,5.0,5,4.0,1.0,3,1.0,1
105,Intro Computing: Non-Tech,2010,Spring,"Date, Chaitanya P",5,11,12.0,10.0,11,4.0,6.0,0,3.0,1.0,0,1.0,0
105,Intro Computing: Non-Tech,2010,Spring,"Hsiao, Christopher R",3,20,11.0,10.0,6,4.0,5.0,6,6.0,4.0,0,0.0,1
105,Intro Computing: Non-Tech,2010,Spring,"Mitchell, Damion R",4,16,9.0,8.0,6,0.0,7.0,1,6.0,2.0,1,1.0,1
105,Intro Computing: Non-Tech,2010,Spring,"Saharan, Ankit",8,15,11.0,10.0,10,3.0,1.0,3,2.0,2.0,0,1.0,1
105,Intro Computing: Non-Tech,2010,Spring,"Ved, Ankeeth S",6,15,8.0,13.0,10,6.0,6.0,5,4.0,2.0,1,1.0,0
105,Intro Computing: Non-Tech,2010,Spring,"Yuttanan, Boonrod",1,2,5.0,3.0,5,1.0,7.0,4,4.0,1.0,0,0.0,1
105,Intro Computing: Non-Tech,2010,Spring,"Zutshi, Aditya",2,9,11.0,15.0,11,6.0,8.0,3,7.0,2.0,3,1.0,3
105,Intro Computing: Non-Tech,2011,Fall,"Gambill, Thomas N",129,147,106.0,96.0,124,70.0,40.0,48,18.0,15.0,22,7.0,10
105,Intro Computing: Non-Tech,2011,Spring,"Lauterburg, Steven T",30,86,66.0,53.0,88,45.0,40.0,47,17.0,5.0,18,3.0,14
105,Intro Computing: Non-Tech,2012,Fall,"Zhao, Kai",52,193,170.0,144.0,122,62.0,45.0,34,15.0,9.0,4,1.0,2
105,Intro Computing: Non-Tech,2013,Fall,"Zhao, Kai",67,145,136.0,103.0,138,62.0,33.0,0,49.0,11.0,9,4.0,11
105,Intro Computing: Non-Tech,2013,Spring,"Zhao, Kai",59,181,86.0,84.0,80,34.0,27.0,21,5.0,7.0,4,0.0,5
105,Intro Computing: Non-Tech,2014,Fall,"Fagen, Wade A",77,169,135.0,106.0,133,67.0,36.0,45,22.0,13.0,17,2.0,14
105,Intro Computing: Non-Tech,2014,Spring,"Fagen, Wade A",35,82,62.0,70.0,59,35.0,32.0,23,8.0,7.0,5,5.0,6
105,Intro Computing: Non-Tech,2015,Fall,"Fagen, Wade A",268,237,111.0,87.0,81,36.0,22.0,12,9.0,8.0,4,1.0,9
105,Intro Computing: Non-Tech,2015,Spring,"Fagen, Wade A",60,101,61.0,40.0,52,41.0,25.0,24,10.0,6.0,2,1.0,8
105,Intro Computing: Non-Tech,2016,Fall,"Hellwig, Martin",125,191,109.0,87.0,76,25.0,15.0,8,6.0,4.0,2,1.0,11
105,Intro Computing: Non-Tech,2016,Spring,"Hellwig, Martin",161,135,86.0,49.0,34,15.0,11.0,3,4.0,1.0,1,0.0,8
105,Intro Computing: Non-Tech,2017,Fall,"Harris, Albert F",40,157,204.0,0.0,100,0.0,0.0,15,0.0,0.0,4,0.0,8
105,Intro Computing: Non-Tech,2017,Spring,"Haberman, Michael",184,130,64.0,42.0,41,21.0,11.0,14,1.0,5.0,9,1.0,21
105,Intro Computing: Non-Tech,2018,Fall,"Harris, Albert F",124,95,66.0,56.0,46,31.0,25.0,24,12.0,0.0,14,0.0,7
105,Intro Computing: Non-Tech,2018,Spring,"Harris, Albert F",43,134,115.0,60.0,45,50.0,19.0,16,20.0,0.0,18,0.0,13
105,Intro Computing: Non-Tech,2019,Spring,"Harris, Albert F",216,189,39.0,35.0,48,13.0,7.0,16,2.0,1.0,12,4.0,2
125,Intro to Computer Science,2010,Fall,"Angrave, Lawrence C",73,66,59.0,33.0,4,10.0,11.0,9,14.0,1.0,1,8.0,9
125,Intro to Computer Science,2010,Spring,"Fogla, Navin",1,6,5.0,0.0,0,2.0,1.0,2,3.0,0.0,0,2.0,2
125,Intro to Computer Science,2010,Spring,"Nagaraja, Sharat",6,16,9.0,11.0,2,7.0,8.0,4,2.0,1.0,0,0.0,0
125,Intro to Computer Science,2010,Spring,"Somnath, Nisha",5,5,4.0,1.0,2,2.0,1.0,1,3.0,2.0,0,1.0,1
125,Intro to Computer Science,2011,Fall,"Angrave, Lawrence C",70,79,73.0,33.0,16,13.0,11.0,13,12.0,0.0,7,0.0,22
125,Intro to Computer Science,2011,Spring,"Angrave, Lawrence C",27,41,31.0,26.0,4,16.0,8.0,9,10.0,0.0,8,0.0,9
125,Intro to Computer Science,2012,Fall,"Angrave, Lawrence C",36,63,81.0,41.0,37,20.0,19.0,25,22.0,0.0,11,0.0,20
125,Intro to Computer Science,2013,Fall,"Zilles, Craig",28,131,35.0,35.0,68,20.0,14.0,27,11.0,0.0,13,11.0,13
125,Intro to Computer Science,2013,Spring,"Angrave, Lawrence C",47,88,50.0,36.0,23,16.0,14.0,28,10.0,0.0,10,1.0,16
125,Intro to Computer Science,2014,Fall,"Chapman, William L",137,129,29.0,21.0,33,10.0,6.0,17,2.0,0.0,0,1.0,8
125,Intro to Computer Science,2014,Spring,"Angrave, Lawrence C",60,109,38.0,53.0,28,19.0,15.0,15,16.0,0.0,10,0.0,13
125,Intro to Computer Science,2015,Fall,"Chapman, William L",152,170,42.0,44.0,49,15.0,34.0,41,4.0,6.0,1,1.0,12
125,Intro to Computer Science,2015,Spring,"Chapman, William L",122,152,65.0,47.0,63,17.0,29.0,39,12.0,8.0,3,5.0,7
125,Intro to Computer Science,2016,Fall,"Chapman, William L",103,178,78.0,34.0,63,49.0,36.0,27,9.0,3.0,1,3.0,3
125,Intro to Computer Science,2016,Spring,"Chapman, William L",108,184,59.0,42.0,70,13.0,37.0,26,7.0,3.0,4,1.0,9
125,Intro to Computer Science,2017,Fall,"Angrave, Lawrence C",19,264,77.0,68.0,45,43.0,68.0,35,24.0,0.0,24,0.0,17
125,Intro to Computer Science,2017,Spring,"Chapman, William L",77,141,61.0,30.0,68,40.0,36.0,36,29.0,6.0,4,1.0,3
125,Intro to Computer Science,2018,Fall,"Challen, Geoffrey W",143,389,53.0,34.0,32,19.0,8.0,7,8.0,0.0,14,0.0,20
125,Intro to Computer Science,2018,Spring,"Challen, Geoffrey W",56,169,40.0,43.0,33,19.0,16.0,10,8.0,0.0,9,0.0,10
125,Intro to Computer Science,2019,Spring,"Challen, Geoffrey W",55,223,39.0,20.0,32,13.0,4.0,9,2.0,0.0,18,0.0,21
126,Software Design Studio,2016,Fall,"Zilles, Craig",4,23,0.0,3.0,1,1.0,1.0,0,1.0,0.0,0,0.0,0
126,Software Design Studio,2017,Fall,"Zilles, Craig",22,23,18.0,10.0,18,3.0,6.0,5,2.0,0.0,1,0.0,3
