Subject,Number,Course Title,Year,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,averageGPA,studentCount,courseDesc
CS,100,Freshman Orientation,2010,Fall,"Pitt, Leonard B",0,154,0,0,30,0,0,22,0,0,9,0,9,1,3.388,225,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2011,Fall,"Pitt, Leonard B",0,182,0,0,11,0,0,12,0,0,5,0,7,0,3.641,217,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2012,Fall,"Pitt, Leonard B",0,188,0,0,21,0,0,6,0,0,1,0,9,2,3.68,227,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2013,Fall,"Pitt, Leonard B",0,222,0,5,16,0,5,4,0,2,1,0,9,1,3.697,265,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2014,Fall,"Pitt, Leonard B",0,232,11,3,11,3,2,6,1,0,2,1,9,1,3.702,282,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2015,Fall,"Pitt, Leonard B",0,234,0,9,11,4,0,10,0,0,2,2,4,0,3.7430000000000003,276,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2016,Fall,"Pitt, Leonard B",0,279,0,5,11,0,1,6,0,0,3,0,6,1,3.804,312,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2017,Fall,"Pitt, Leonard B",0,258,5,12,12,4,3,3,2,0,0,1,4,0,3.7960000000000003,304,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,100,Freshman Orientation,2018,Fall,"Gunter, Elsa",0,290,10,9,4,2,1,2,2,0,1,0,1,0,3.897,322,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
CS,101,Intro Computing: Engrg & Sci,2010,Fall,"Gambill, Thomas N",49,74,68,67,56,46,39,25,16,9,6,8,2,3,3.111,468,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2010,Spring,"Bhasin, Rajesh",9,13,11,18,6,9,2,6,1,3,0,0,0,0,3.239,78,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2010,Spring,"Fister, Andrew E",8,16,20,12,6,4,3,3,0,1,1,0,3,1,3.29,78,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2010,Spring,"Gupta, Piyush",15,11,23,9,6,6,1,1,4,1,0,0,2,0,3.3510000000000004,79,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2010,Spring,"Huang, Zu C",13,15,11,6,4,9,8,2,2,2,2,1,1,1,3.154,77,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2010,Spring,"Shifteh Far, Saeidreza",13,12,9,6,11,7,0,5,4,3,2,0,3,1,3.032,76,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2010,Spring,"Su, Lu",8,11,9,14,7,9,3,3,2,2,0,0,2,1,3.138,71,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2011,Fall,"Gambill, Thomas N",115,80,49,47,41,45,26,20,14,8,7,6,4,2,3.258,464,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2011,Spring,"Gambill, Thomas N",106,103,78,52,42,33,19,12,9,4,4,8,4,0,3.391,474,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2012,Fall,"Gambill, Thomas N",86,61,56,40,52,41,36,30,14,10,4,4,15,3,3.072,452,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2013,Fall,"Gambill, Thomas N",82,64,56,51,53,53,34,33,28,23,13,11,17,3,2.9010000000000002,521,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2013,Spring,"Gambill, Thomas N",104,85,71,67,44,45,38,24,22,14,5,4,8,5,3.185,536,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2014,Fall,"Gambill, Thomas N",79,51,64,66,78,66,57,48,39,35,20,13,50,5,2.634,671,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2014,Spring,"Gambill, Thomas N",113,74,59,56,42,37,33,29,21,18,8,8,23,2,3.0389999999999997,523,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2015,Fall,"Cunningham, Ryan M",7,213,76,83,142,35,23,53,12,0,26,0,24,3,3.113,697,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2015,Spring,"Gambill, Thomas N",116,83,83,68,73,66,48,43,16,20,19,7,35,4,2.95,681,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2016,Fall,"Davis, Neal E",93,154,124,67,72,36,39,26,11,10,15,14,21,2,3.1919999999999997,684,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2016,Spring,"Cunningham, Ryan M",6,341,78,65,96,14,13,33,11,0,15,0,16,5,3.41,693,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
CS,101,Intro Computing: Engrg & Sci,2017,Fall,"Davis, Neal E",439,90,43,30,19,16,5,9,6,1,9,0,14,1,3.705,682,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
