courseNo,courseTitle,year,term,primaryInstructor,aPlus,a,aMinus,bPlus,b,bMinus,cPlus,c,cMinus,dPlus,d,dMinus,f,courseDesc
100,Freshman Orientation,2012,Fall,"Pitt, Leonard B",0,188,0.1,0.2,21,0.3,0.4,6,0.5,0.6,1,0.7,9,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
100,Freshman Orientation,2013,Fall,"Pitt, Leonard B",0,222,0.0,5.0,16,0.0,5.0,4,0.0,2.0,1,0.0,9,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
100,Freshman Orientation,2014,Fall,"Pitt, Leonard B",0,232,11.0,3.0,11,3.0,2.0,6,1.0,0.0,2,1.0,9,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
100,Freshman Orientation,2015,Fall,"Pitt, Leonard B",0,234,0.0,9.0,11,4.0,0.0,10,0.0,0.0,2,2.0,4,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
100,Freshman Orientation,2016,Fall,"Pitt, Leonard B",0,279,0.0,5.0,11,0.0,1.0,6,0.0,0.0,3,0.0,6,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
100,Freshman Orientation,2017,Fall,"Pitt, Leonard B",0,258,5.0,12.0,12,4.0,3.0,3,2.0,0.0,0,1.0,4,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
100,Freshman Orientation,2018,Fall,"Gunter, Elsa",0,290,10.0,9.0,4,2.0,1.0,2,2.0,0.0,1,0.0,1,Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
101,Intro Computing: Engrg & Sci,2010,Fall,"Gambill, Thomas N",49,74,68.0,67.0,56,46.0,39.0,25,16.0,9.0,6,8.0,2,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2010,Spring,"Bhasin, Rajesh",9,13,11.0,18.0,6,9.0,2.0,6,1.0,3.0,0,0.0,0,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2010,Spring,"Fister, Andrew E",8,16,20.0,12.0,6,4.0,3.0,3,0.0,1.0,1,0.0,3,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2010,Spring,"Gupta, Piyush",15,11,23.0,9.0,6,6.0,1.0,1,4.0,1.0,0,0.0,2,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2010,Spring,"Huang, Zu C",13,15,11.0,6.0,4,9.0,8.0,2,2.0,2.0,2,1.0,1,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2010,Spring,"Shifteh Far, Saeidreza",13,12,9.0,6.0,11,7.0,0.0,5,4.0,3.0,2,0.0,3,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2010,Spring,"Su, Lu",8,11,9.0,14.0,7,9.0,3.0,3,2.0,2.0,0,0.0,2,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
101,Intro Computing: Engrg & Sci,2011,Fall,"Gambill, Thomas N",115,80,49.0,47.0,41,45.0,26.0,20,14.0,8.0,7,6.0,4,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. "
